CBScode,Municipality,Province,Population,Population_density(p/km),"HIC: Theft / burglary dwelling, complete","HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony
GM0606,Schiedam,South Holland,76487,4230,202,97,557,43,19,20,243,18,676,656,107,188,138,44,6,286,28,597,27,82,37
GM0088,Schiermonnikoog,Friesland,938,21,0,0,0,0,0,1,0,0,2,0,0,3,0,1,0,0,0,4,0,0,0
GM0844,Schijndel,North Brabant,23360,554,34,11,78,0,1,0,22,2,114,75,14,33,18,13,1,52,4,132,3,83,13
GM0962,Schinnen,Limburg,12961,549,37,18,20,1,0,0,11,3,36,55,25,18,30,4,0,9,0,52,1,1,1
GM1676,Schouwen-Duiveland,Zeeland,33821,148,57,13,132,4,0,10,60,7,106,100,9,57,36,35,4,68,4,211,8,25,8
GM0965,Simpelveld,Limburg,10844,681,14,15,21,1,1,0,9,3,8,23,11,6,12,1,2,12,0,46,2,1,3
GM1702,Sint Anthonis,North Brabant,11696,119,11,1,13,0,0,0,12,1,10,8,6,17,18,3,0,1,0,34,0,2,9
GM0845,Sint-Michielsgestel,North Brabant,28186,481,42,14,56,0,1,1,18,4,51,87,17,17,36,3,1,38,0,73,4,6,11
GM0846,Sint-Oedenrode,North Brabant,17944,278,21,11,37,0,0,2,16,0,51,49,8,17,23,9,0,20,1,78,2,8,3
GM1883,Sittard-Geleen,Limburg,93806,1196,311,185,544,15,5,26,223,52,976,454,167,369,212,89,14,313,8,662,23,124,25
GM0610,Sliedrecht,South Holland,24528,1888,19,7,70,1,0,0,21,4,71,105,13,28,8,7,0,43,6,102,6,3,17
GM0040,Slochteren,Groningen,15535,103,27,5,38,0,0,3,15,0,10,13,3,12,8,4,0,23,0,53,0,2,4
GM1714,Sluis,Zeeland,23795,85,32,9,77,2,1,2,39,4,42,28,3,29,7,15,2,37,1,89,3,8,14
GM0090,Smallingerland,Friesland,55496,469,61,32,221,1,1,16,72,18,263,85,13,64,41,67,6,144,5,312,11,25,26
GM0342,Soest,Utrecht,45430,986,146,73,185,5,3,3,74,16,147,200,16,48,21,22,3,107,4,269,13,20,14
GM0847,Someren,North Brabant,18700,231,28,11,49,0,0,2,18,7,44,52,26,17,15,12,0,27,4,78,2,3,15
GM0848,Son en Breugel,North Brabant,16241,610,18,4,26,0,0,1,6,0,49,114,19,17,12,5,0,15,5,61,3,5,4
GM0037,Stadskanaal,Groningen,32793,280,59,7,142,0,1,0,44,8,137,23,11,23,30,16,2,94,4,140,3,11,20
GM0180,Staphorst,Overijssel,16365,121,17,8,23,0,0,1,10,3,12,26,6,6,28,9,0,12,1,23,2,1,5
GM0532,Stede Broec,North Holland,21474,1467,24,9,86,3,0,4,27,4,136,34,6,20,22,7,5,55,4,87,5,6,10
GM0851,Steenbergen,North Brabant,23409,159,39,17,74,0,3,3,31,12,30,104,7,12,19,9,7,38,5,96,4,4,6
GM1708,Steenwijkerland,Overijssel,43372,150,81,17,188,1,3,6,66,7,135,44,7,47,38,19,2,111,11,242,4,14,17
GM0971,Stein,Limburg,25348,1211,60,44,79,0,1,0,33,8,56,82,39,37,35,12,3,41,5,105,2,10,7
GM1904,Stichtse Vecht,Utrecht,63823,655,121,57,199,2,2,11,66,20,130,424,60,65,28,55,1,112,21,270,20,19,21
GM0617,Strijen,South Holland,8678,174,9,3,22,0,0,0,5,0,6,28,2,9,8,4,0,16,1,33,1,0,3
GM0715,Terneuzen,Zeeland,54711,218,95,36,292,3,5,16,114,16,188,79,24,76,27,48,7,168,10,345,15,17,29
GM0093,Terschelling,Friesland,4769,55,4,1,16,0,0,0,2,0,16,1,1,3,1,2,0,14,0,37,0,6,1
GM0448,Texel,North Holland,13566,85,12,6,59,1,0,3,24,6,35,9,0,10,3,4,0,27,8,73,4,11,13
GM1525,Teylingen,South Holland,35723,1250,58,19,93,0,0,3,31,8,178,137,9,68,53,15,2,62,0,134,4,5,14
GM0716,Tholen,Zeeland,25398,174,29,15,63,0,2,2,23,4,25,51,4,20,15,7,0,38,2,119,3,3,11
GM0281,Tiel,Gelderland,41729,1287,96,54,311,11,6,20,105,49,297,247,34,63,39,23,3,202,4,406,31,40,17
GM0855,Tilburg,North Brabant,210382,1770,427,191,1670,43,26,75,595,65,1899,1113,158,385,294,180,71,982,93,1481,76,463,137
GM0183,Tubbergen,Overijssel,21216,144,25,4,20,0,0,0,4,3,29,8,1,9,7,6,1,14,2,23,6,0,4
GM1700,Twenterand,Overijssel,33939,319,49,14,55,0,0,1,19,7,63,26,5,23,21,22,0,36,0,89,4,2,9
GM1730,Tynaarlo,Drenthe,32506,225,67,12,81,0,1,4,31,7,44,33,5,18,24,6,2,49,1,108,2,3,15
GM0737,Tytsjerksteradiel,Friesland,31980,215,48,12,66,0,0,1,27,3,53,17,6,21,9,13,1,39,0,105,5,5,15
GM0856,Uden,North Brabant,40934,609,71,17,169,3,1,11,65,16,277,165,25,78,81,18,10,90,14,271,5,24,18
GM0450,Uitgeest,North Holland,13242,672,21,7,37,0,0,0,8,4,96,45,2,14,8,2,1,25,4,94,1,6,3
GM0451,Uithoorn,North Holland,28407,1552,38,16,131,5,0,3,42,9,78,75,14,33,13,10,1,83,6,163,3,7,6
GM0184,Urk,Flevoland,19487,1644,19,4,28,0,0,1,6,8,56,10,0,17,5,2,0,16,6,99,0,1,4
GM0344,Utrecht,Utrecht,328577,3353,1177,474,1820,140,22,157,648,167,4774,6007,380,739,331,239,124,1058,114,2029,103,802,149
GM1581,Utrechtse Heuvelrug,Utrecht,47939,365,150,78,145,0,3,4,66,12,286,145,19,63,40,12,4,72,7,222,11,12,10
GM0981,Vaals,Limburg,9682,409,21,4,34,1,0,1,9,2,15,52,23,14,9,8,1,23,2,41,0,10,2
